Reporting org,Reporting org type,Provider org,Receiver org,Humanitarian?,Strict?,Transaction type,Transaction direction,Total money
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN AMIGOS DE SILVA,0,1,spending,outgoing,336325
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN COOPERACIÓN Y DESARROLLO CON EL NORTE DE ÁFRICA,0,1,commitments,outgoing,166531
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN COOPERACIÓN Y DESARROLLO CON EL NORTE DE ÁFRICA,0,1,spending,outgoing,183450
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN DE TRABAJADORES Y TÉCNICOS SIN FRONTERAS MUGARIK GABEKO LANGLILE ETA TED,0,1,commitments,outgoing,537895
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN DE TRABAJADORES Y TÉCNICOS SIN FRONTERAS MUGARIK GABEKO LANGLILE ETA TED,0,1,spending,outgoing,592544
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN ONGD CIVES MUNDI,0,1,commitments,outgoing,503345
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN ONGD CIVES MUNDI,0,1,spending,outgoing,554483
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN PROYDE,0,1,commitments,outgoing,388573
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN PROYDE,0,1,spending,outgoing,428050
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN ZABALKETA DE COOPERACIÓN Y DESARROLLO,0,1,commitments,outgoing,489099
AECID Spanish Agency for International Development Cooperation,10,,ASOCIACIÓN ZABALKETA DE COOPERACIÓN Y DESARROLLO,0,1,spending,outgoing,538789
AECID Spanish Agency for International Development Cooperation,10,,ASOCICIÓN TIERRA SIN MALES,0,1,commitments,outgoing,166809
AECID Spanish Agency for International Development Cooperation,10,,ASOCICIÓN TIERRA SIN MALES,0,1,spending,outgoing,183756
AECID Spanish Agency for International Development Cooperation,10,,ASSOCIACIO COOPERACCIO,0,1,commitments,outgoing,333062
AECID Spanish Agency for International Development Cooperation,10,,ASSOCIACIO COOPERACCIO,0,1,spending,outgoing,366900
AECID Spanish Agency for International Development Cooperation,10,,"AZIMUT 360, SCCL",0,1,commitments,outgoing,425587
AECID Spanish Agency for International Development Cooperation,10,,"AZIMUT 360, SCCL",0,1,spending,outgoing,468825
AECID Spanish Agency for International Development Cooperation,10,,Asociación C. Mujeres Dllo. Local,0,0,commitments,outgoing,111021
AECID Spanish Agency for International Development Cooperation,10,,Asociación C. Mujeres Dllo. Local,0,0,spending,outgoing,119500
AECID Spanish Agency for International Development Cooperation,10,,Asociación Mujeres Negras C Rica,0,1,commitments,outgoing,107579
AECID Spanish Agency for International Development Cooperation,10,,Asociación Mujeres Negras C Rica,0,1,spending,outgoing,115796
AECID Spanish Agency for International Development Cooperation,10,,Asociación PROVIDA,0,1,commitments,outgoing,132639
AECID Spanish Agency for International Development Cooperation,10,,Asociación PROVIDA,0,1,spending,outgoing,140392
AECID Spanish Agency for International Development Cooperation,10,,Asociación Promoción Claretiana par,0,1,commitments,outgoing,388587
AECID Spanish Agency for International Development Cooperation,10,,Asociación Promoción Claretiana par,0,1,spending,outgoing,428066
AECID Spanish Agency for International Development Cooperation,10,,Asociación de farmaceuticos,0,1,commitments,outgoing,35527
AECID Spanish Agency for International Development Cooperation,10,,Asociación de farmaceuticos,0,1,spending,outgoing,38240
AECID Spanish Agency for International Development Cooperation,10,,CARITAS ESPAÑOLA,0,1,commitments,outgoing,457405
AECID Spanish Agency for International Development Cooperation,10,,CARITAS ESPAÑOLA,0,1,spending,outgoing,503876
AECID Spanish Agency for International Development Cooperation,10,,CARITAS HONDURAS,0,1,commitments,outgoing,666124
AECID Spanish Agency for International Development Cooperation,10,,CARITAS HONDURAS,0,1,spending,outgoing,706218
AECID Spanish Agency for International Development Cooperation,10,,CENTRARSE,0,1,commitments,outgoing,88817
AECID Spanish Agency for International Development Cooperation,10,,CENTRARSE,0,1,spending,outgoing,95600
AECID Spanish Agency for International Development Cooperation,10,,CENTRO DE ESTUDIOS RURALES Y AGRICULTURA INTERNACIONAL,0,1,commitments,outgoing,1252545
AECID Spanish Agency for International Development Cooperation,10,,CENTRO DE ESTUDIOS RURALES Y AGRICULTURA INTERNACIONAL,0,1,spending,outgoing,1379798
AECID Spanish Agency for International Development Cooperation,10,,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,0,1,commitments,outgoing,1304940
AECID Spanish Agency for International Development Cooperation,10,,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,0,1,spending,outgoing,1437517
AECID Spanish Agency for International Development Cooperation,10,,"CENTRO GLOBALCAD 3.0, SL",0,1,commitments,outgoing,312869
AECID Spanish Agency for International Development Cooperation,10,,"CENTRO GLOBALCAD 3.0, SL",0,1,spending,outgoing,344655
AECID Spanish Agency for International Development Cooperation,10,,CLACPI Mexico,0,1,commitments,outgoing,127674
AECID Spanish Agency for International Development Cooperation,10,,CLACPI Mexico,0,1,spending,outgoing,134286
AECID Spanish Agency for International Development Cooperation,10,,COCEMFE. Confederación Española de,0,1,commitments,outgoing,298695
AECID Spanish Agency for International Development Cooperation,10,,COCEMFE. Confederación Española de,0,1,spending,outgoing,329041
AECID Spanish Agency for International Development Cooperation,10,,COMCAVIS,0,1,commitments,outgoing,236640
AECID Spanish Agency for International Development Cooperation,10,,COMCAVIS,0,1,spending,outgoing,236620
AECID Spanish Agency for International Development Cooperation,10,,COMJIB - Conferencia Min. de Just.,0,0,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,COMJIB - Conferencia Min. de Just.,0,0,spending,outgoing,239000
AECID Spanish Agency for International Development Cooperation,10,,COMUNIDAD ETEA COMPAÑIA DE JESUS PROVINCIA BETICA,0,1,commitments,outgoing,333062
AECID Spanish Agency for International Development Cooperation,10,,COMUNIDAD ETEA COMPAÑIA DE JESUS PROVINCIA BETICA,0,1,spending,outgoing,366900
AECID Spanish Agency for International Development Cooperation,10,,CONCYTEC,0,1,commitments,outgoing,89822
AECID Spanish Agency for International Development Cooperation,10,,CONCYTEC,0,1,spending,outgoing,90015
AECID Spanish Agency for International Development Cooperation,10,,CONEMUND,0,1,commitments,outgoing,1227712
AECID Spanish Agency for International Development Cooperation,10,,CONEMUND,0,1,spending,outgoing,1352442
AECID Spanish Agency for International Development Cooperation,10,,COPADE - Fundación Comercio para el,0,1,commitments,outgoing,465948
AECID Spanish Agency for International Development Cooperation,10,,COPADE - Fundación Comercio para el,0,1,spending,outgoing,513287
AECID Spanish Agency for International Development Cooperation,10,,CRUZ ROJA ESPAÑOLA,0,1,commitments,outgoing,555104
AECID Spanish Agency for International Development Cooperation,10,,CRUZ ROJA ESPAÑOLA,0,1,spending,outgoing,611500
AECID Spanish Agency for International Development Cooperation,10,,CRUZ ROJA HONDUREÑA,1,1,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,CRUZ ROJA HONDUREÑA,1,1,spending,outgoing,235406
AECID Spanish Agency for International Development Cooperation,10,,EHAS - Fundación Enlace Hispano Ame,0,1,commitments,outgoing,247576
AECID Spanish Agency for International Development Cooperation,10,,EHAS - Fundación Enlace Hispano Ame,0,1,spending,outgoing,272729
AECID Spanish Agency for International Development Cooperation,10,,FARMACEUTICOS MUNDI,0,1,commitments,outgoing,399453
AECID Spanish Agency for International Development Cooperation,10,,FARMACEUTICOS MUNDI,0,1,spending,outgoing,440035
AECID Spanish Agency for International Development Cooperation,10,,FBM - Fundación Benito Menni,0,1,commitments,outgoing,40419
AECID Spanish Agency for International Development Cooperation,10,,FBM - Fundación Benito Menni,0,1,spending,outgoing,44526
AECID Spanish Agency for International Development Cooperation,10,,FED. DE ASOCIACIONES MEDICUS MUNDI,0,1,commitments,outgoing,388573
AECID Spanish Agency for International Development Cooperation,10,,FED. DE ASOCIACIONES MEDICUS MUNDI,0,1,spending,outgoing,428050
AECID Spanish Agency for International Development Cooperation,10,,FPSC - Fundación Promoción Social d,0,1,commitments,outgoing,1034236
AECID Spanish Agency for International Development Cooperation,10,,FPSC - Fundación Promoción Social d,0,1,spending,outgoing,1139310
AECID Spanish Agency for International Development Cooperation,10,,FUDEN - Fundación para el Desarroll,0,1,commitments,outgoing,333062
AECID Spanish Agency for International Development Cooperation,10,,FUDEN - Fundación para el Desarroll,0,1,spending,outgoing,366900
AECID Spanish Agency for International Development Cooperation,10,,FUND.PRIV.INSTITUTO DE SALUD GLOBAL,0,1,commitments,outgoing,55510
AECID Spanish Agency for International Development Cooperation,10,,FUND.PRIV.INSTITUTO DE SALUD GLOBAL,0,1,spending,outgoing,61150
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO INTERMON OXFAM,0,1,commitments,outgoing,555104
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO INTERMON OXFAM,0,1,spending,outgoing,611500
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO PRIVADA MON-3 Agrup. Con Xarsa de Consum Solidari,0,1,commitments,outgoing,295435
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO PRIVADA MON-3 Agrup. Con Xarsa de Consum Solidari,0,1,spending,outgoing,325450
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO PRIVADA ULLS DEL MON,0,1,commitments,outgoing,425650
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIO PRIVADA ULLS DEL MON,0,1,spending,outgoing,468895
AECID Spanish Agency for International Development Cooperation,10,,FUNDACION ACCIONA MICROENERGIA,0,1,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,FUNDACION ACCIONA MICROENERGIA,0,1,spending,outgoing,305750
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN 2001 GLOBAL NATURE,0,1,commitments,outgoing,239647
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN 2001 GLOBAL NATURE,0,1,spending,outgoing,263994
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN A.L.D.E.A,0,1,commitments,outgoing,111021
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN A.L.D.E.A,0,1,spending,outgoing,116660
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ADSIS,0,1,commitments,outgoing,546500
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ADSIS,0,1,spending,outgoing,602022
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ALBOAN,0,1,commitments,outgoing,776591
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ALBOAN,0,1,spending,outgoing,855490
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN AMREF FLYING DOCTORS (ESPAÑA),0,1,commitments,outgoing,646479
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN AMREF FLYING DOCTORS (ESPAÑA),0,1,spending,outgoing,712159
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN AYUDA EN ACCIÓN,0,1,commitments,outgoing,532900
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN AYUDA EN ACCIÓN,0,1,spending,outgoing,587040
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN BENEFICA DEL VALLE,0,1,commitments,outgoing,343774
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN BENEFICA DEL VALLE,0,1,spending,outgoing,378700
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN CIDEAL DE COOPERACIÓN E INVESTIGACIÓN,0,1,commitments,outgoing,222228
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN CIDEAL DE COOPERACIÓN E INVESTIGACIÓN,0,1,spending,outgoing,244805
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ECONOMISTAS SIN FRONTERAS,0,0,commitments,outgoing,149040
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ECONOMISTAS SIN FRONTERAS,0,0,spending,outgoing,164182
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN EDUCACIÓN Y COOPERACIÓN (EDUCO) (antes Educacion sin fronteras),1,0,commitments,outgoing,666124
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN EDUCACIÓN Y COOPERACIÓN (EDUCO) (antes Educacion sin fronteras),1,0,spending,outgoing,733800
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ENTRECULTURAS - FE Y ALEGRIA,0,1,commitments,outgoing,166337
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ENTRECULTURAS - FE Y ALEGRIA,0,1,spending,outgoing,183236
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN INTERED,0,0,commitments,outgoing,201675
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN INTERED,0,0,spending,outgoing,222164
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN INTERED,0,1,commitments,outgoing,388590
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN INTERED,0,1,spending,outgoing,428070
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN JOVENES Y DESARROLLO,0,1,commitments,outgoing,719686
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN JOVENES Y DESARROLLO,0,1,spending,outgoing,792804
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ONCE PARA LA SOLIDARIDAD CON PERSONAS CIEGAS DE AMERICA LATINA (FOAL),0,1,commitments,outgoing,155429
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN ONCE PARA LA SOLIDARIDAD CON PERSONAS CIEGAS DE AMERICA LATINA (FOAL),0,1,spending,outgoing,171220
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN PARA LA COOPERACIÓN - APY SOLIDARIDAD EN ACCIÓN,0,1,commitments,outgoing,255348
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN PARA LA COOPERACIÓN - APY SOLIDARIDAD EN ACCIÓN,0,1,spending,outgoing,281290
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN PLAN INTERNACIONAL ESPAÑA,0,1,commitments,outgoing,466842
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN PLAN INTERNACIONAL ESPAÑA,0,1,spending,outgoing,514272
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN VICENTE FERRER,0,1,commitments,outgoing,83272
AECID Spanish Agency for International Development Cooperation,10,,FUNDACIÓN VICENTE FERRER,0,1,spending,outgoing,91732
AECID Spanish Agency for International Development Cooperation,10,,Femmes en Démocratie (FED),0,1,commitments,outgoing,166531
AECID Spanish Agency for International Development Cooperation,10,,Femmes en Démocratie (FED),0,1,spending,outgoing,176865
AECID Spanish Agency for International Development Cooperation,10,,Fundación CRISFE,0,1,commitments,outgoing,357194
AECID Spanish Agency for International Development Cooperation,10,,Fundación CRISFE,0,1,spending,outgoing,358553
AECID Spanish Agency for International Development Cooperation,10,,Fundación Fontilles,0,1,commitments,outgoing,355495
AECID Spanish Agency for International Development Cooperation,10,,Fundación Fontilles,0,1,spending,outgoing,391612
AECID Spanish Agency for International Development Cooperation,10,,Fundación Tajamar,0,1,commitments,outgoing,149878
AECID Spanish Agency for International Development Cooperation,10,,Fundación Tajamar,0,1,spending,outgoing,158895
AECID Spanish Agency for International Development Cooperation,10,,Fundación Tecnologías Auxiiliares A,0,1,commitments,outgoing,226621
AECID Spanish Agency for International Development Cooperation,10,,Fundación Tecnologías Auxiiliares A,0,1,spending,outgoing,249645
AECID Spanish Agency for International Development Cooperation,10,,Fundación Universidad Loyola Andalu,0,1,commitments,outgoing,428651
AECID Spanish Agency for International Development Cooperation,10,,Fundación Universidad Loyola Andalu,0,1,spending,outgoing,472200
AECID Spanish Agency for International Development Cooperation,10,,GOBIERNO PROVINCIAL DE CABO DELGADO,0,1,commitments,outgoing,83266
AECID Spanish Agency for International Development Cooperation,10,,GOBIERNO PROVINCIAL DE CABO DELGADO,0,1,spending,outgoing,87495
AECID Spanish Agency for International Development Cooperation,10,,IC NEURONIC SL,0,1,commitments,outgoing,401454
AECID Spanish Agency for International Development Cooperation,10,,IC NEURONIC SL,0,1,spending,outgoing,442240
AECID Spanish Agency for International Development Cooperation,10,,INSTITUTO SINDICAL DE COOPERACIÓN AL DESARROLLO (ISCOD),0,1,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,INSTITUTO SINDICAL DE COOPERACIÓN AL DESARROLLO (ISCOD),0,1,spending,outgoing,244600
AECID Spanish Agency for International Development Cooperation,10,,Instituto de Salud Incluyente (ISIS,0,1,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,Instituto de Salud Incluyente (ISIS,0,1,spending,outgoing,282675
AECID Spanish Agency for International Development Cooperation,10,,JAD,0,1,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,JAD,0,1,spending,outgoing,294775
AECID Spanish Agency for International Development Cooperation,10,,MANCUERNA - Mancomunidad de municip,0,1,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,MANCUERNA - Mancomunidad de municip,0,1,spending,outgoing,235400
AECID Spanish Agency for International Development Cooperation,10,,MEDICOS DEL MUNDO,0,1,commitments,outgoing,967870
AECID Spanish Agency for International Development Cooperation,10,,MEDICOS DEL MUNDO,0,1,spending,outgoing,1066202
AECID Spanish Agency for International Development Cooperation,10,,MINISTERIO DE SALUD DE MOZAMBIQUE,0,1,commitments,outgoing,1126861
AECID Spanish Agency for International Development Cooperation,10,,MINISTERIO DE SALUD DE MOZAMBIQUE,0,1,spending,outgoing,1208022
AECID Spanish Agency for International Development Cooperation,10,,MINISTERIO DE SALUD DE NÍGER,0,1,commitments,outgoing,1110207
AECID Spanish Agency for International Development Cooperation,10,,MINISTERIO DE SALUD DE NÍGER,0,1,spending,outgoing,1184000
AECID Spanish Agency for International Development Cooperation,10,,MOVIMIENTO POR LA PAZ EL DESARME Y LA LIBERTAD,0,1,commitments,outgoing,895632
AECID Spanish Agency for International Development Cooperation,10,,MOVIMIENTO POR LA PAZ EL DESARME Y LA LIBERTAD,0,1,spending,outgoing,986625
AECID Spanish Agency for International Development Cooperation,10,,MUNDUKIDE FUNDAZIOA,0,1,commitments,outgoing,662894
AECID Spanish Agency for International Development Cooperation,10,,MUNDUKIDE FUNDAZIOA,0,1,spending,outgoing,730241
AECID Spanish Agency for International Development Cooperation,10,,MinAgricAmbiente,0,0,commitments,outgoing,333062
AECID Spanish Agency for International Development Cooperation,10,,MinAgricAmbiente,0,0,spending,outgoing,366900
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Artesania,0,1,commitments,outgoing,444083
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Artesania,0,1,spending,outgoing,478000
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Federal de Salud de Etio,0,1,commitments,outgoing,1129900
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Federal de Salud de Etio,0,1,spending,outgoing,1177029
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Salud y Protección Socia,0,0,commitments,outgoing,1110207
AECID Spanish Agency for International Development Cooperation,10,,Ministerio Salud y Protección Socia,0,0,spending,outgoing,1161800
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Finanzas palestino,0,1,commitments,outgoing,1110207
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Finanzas palestino,0,1,spending,outgoing,1166600
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud Bolivia,0,1,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud Bolivia,0,1,spending,outgoing,233540
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud Jordano,0,1,commitments,outgoing,333062
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud Jordano,0,1,spending,outgoing,357030
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud de Malí,0,1,commitments,outgoing,585324
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de Salud de Malí,0,1,spending,outgoing,623754
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de la Mujer y poblacione,0,1,commitments,outgoing,2173731
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de la Mujer y poblacione,0,1,spending,outgoing,2335760
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de la Mujer y poblacione,1,1,commitments,outgoing,20678411
AECID Spanish Agency for International Development Cooperation,10,,Ministerio de la Mujer y poblacione,1,1,spending,outgoing,22007850
AECID Spanish Agency for International Development Cooperation,10,,Ministerio del Ambiente de Perú,0,1,commitments,outgoing,118310
AECID Spanish Agency for International Development Cooperation,10,,Ministerio del Ambiente de Perú,0,1,spending,outgoing,118310
AECID Spanish Agency for International Development Cooperation,10,,NAZIOARTEKO ELKARTASUNA - SI,0,1,commitments,outgoing,427464
AECID Spanish Agency for International Development Cooperation,10,,NAZIOARTEKO ELKARTASUNA - SI,0,1,spending,outgoing,470893
AECID Spanish Agency for International Development Cooperation,10,,NSTITUTO DE ESTUDIOS SOBRE CONFLICT,1,1,commitments,outgoing,86048
AECID Spanish Agency for International Development Cooperation,10,,NSTITUTO DE ESTUDIOS SOBRE CONFLICT,1,1,spending,outgoing,87772
AECID Spanish Agency for International Development Cooperation,10,,OIM - Org Internacional Migracion,1,0,commitments,outgoing,5892200
AECID Spanish Agency for International Development Cooperation,10,,OIM - Org Internacional Migracion,1,0,spending,outgoing,6115000
AECID Spanish Agency for International Development Cooperation,10,,ONGAWA - Ingeniería para el Desarro,0,0,commitments,outgoing,451645
AECID Spanish Agency for International Development Cooperation,10,,ONGAWA - Ingeniería para el Desarro,0,0,spending,outgoing,497530
AECID Spanish Agency for International Development Cooperation,10,,ONGAWA - Ingeniería para el Desarro,0,1,commitments,outgoing,629828
AECID Spanish Agency for International Development Cooperation,10,,ONGAWA - Ingeniería para el Desarro,0,1,spending,outgoing,693816
AECID Spanish Agency for International Development Cooperation,10,,OXFAM IBIS Dinamarca,0,1,commitments,outgoing,388573
AECID Spanish Agency for International Development Cooperation,10,,OXFAM IBIS Dinamarca,0,1,spending,outgoing,412685
AECID Spanish Agency for International Development Cooperation,10,,PARC,0,1,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,PARC,0,1,spending,outgoing,291650
AECID Spanish Agency for International Development Cooperation,10,,PNUD - Programa de las Naciones Uni,0,0,commitments,outgoing,395590
AECID Spanish Agency for International Development Cooperation,10,,PNUD - Programa de las Naciones Uni,0,0,spending,outgoing,397475
AECID Spanish Agency for International Development Cooperation,10,,PNUD - Programa de las Naciones Uni,0,1,commitments,outgoing,693880
AECID Spanish Agency for International Development Cooperation,10,,PNUD - Programa de las Naciones Uni,0,1,spending,outgoing,764375
AECID Spanish Agency for International Development Cooperation,10,,PRODIVERSA - PROGRESO Y DIVERSIDAD,0,1,commitments,outgoing,485674
AECID Spanish Agency for International Development Cooperation,10,,PRODIVERSA - PROGRESO Y DIVERSIDAD,0,1,spending,outgoing,535016
AECID Spanish Agency for International Development Cooperation,10,,PROGRAMA MUNDIAL DE ALIMENTOS,1,0,commitments,outgoing,1522120
AECID Spanish Agency for International Development Cooperation,10,,PROGRAMA MUNDIAL DE ALIMENTOS,1,0,spending,outgoing,1650460
AECID Spanish Agency for International Development Cooperation,10,,PROSALUS,0,1,commitments,outgoing,382230
AECID Spanish Agency for International Development Cooperation,10,,PROSALUS,0,1,spending,outgoing,421063
AECID Spanish Agency for International Development Cooperation,10,,PROTOS,0,1,commitments,outgoing,236049
AECID Spanish Agency for International Development Cooperation,10,,PROTOS,0,1,spending,outgoing,249847
AECID Spanish Agency for International Development Cooperation,10,,Programa Creación Empleo F. Gaza,0,1,commitments,outgoing,470812
AECID Spanish Agency for International Development Cooperation,10,,Programa Creación Empleo F. Gaza,0,1,spending,outgoing,470812
AECID Spanish Agency for International Development Cooperation,10,,RWDS,0,1,commitments,outgoing,222041
AECID Spanish Agency for International Development Cooperation,10,,RWDS,0,1,spending,outgoing,233320
AECID Spanish Agency for International Development Cooperation,10,,SECRETARIA GENERAL DEL SICA,0,1,commitments,outgoing,555104
AECID Spanish Agency for International Development Cooperation,10,,SECRETARIA GENERAL DEL SICA,0,1,spending,outgoing,597400
AECID Spanish Agency for International Development Cooperation,10,,SEGIB. Secretaría General Iberoamer,0,0,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,SEGIB. Secretaría General Iberoamer,0,0,spending,outgoing,305750
AECID Spanish Agency for International Development Cooperation,10,,SOLIDARIDAD EDUCACION Y DESARROLLO,0,1,commitments,outgoing,173524
AECID Spanish Agency for International Development Cooperation,10,,SOLIDARIDAD EDUCACION Y DESARROLLO,0,1,spending,outgoing,191154
AECID Spanish Agency for International Development Cooperation,10,,UAPA,0,0,commitments,outgoing,277552
AECID Spanish Agency for International Development Cooperation,10,,UAPA,0,0,spending,outgoing,295075
AECID Spanish Agency for International Development Cooperation,10,,UNIVERSITAT POLITECNICA DE VALENCIA,0,1,commitments,outgoing,698196
AECID Spanish Agency for International Development Cooperation,10,,UNIVERSITAT POLITECNICA DE VALENCIA,0,1,spending,outgoing,769130
AECID Spanish Agency for International Development Cooperation,10,,UPM-CENTRO INNOVAC TECNO (itdUPM),0,1,commitments,outgoing,448497
AECID Spanish Agency for International Development Cooperation,10,,UPM-CENTRO INNOVAC TECNO (itdUPM),0,1,spending,outgoing,494063
